onset	duration	trial_type	sim_level	pres_num	lag	response	fix_count
3.2	2.5	lure	low	1	40	new	6
7.7	2.5	lure	high	1	40	new	9
12.2	2.5	lure	low	1	12	new	8
16.7	2.5	repeat	n/a	1	12	new	6
21.2	2.5	lure	high	1	40	new	7
25.7	2.5	repeat	n/a	1	12	new	8
30.2	2.5	foil	n/a	1	0	new	7
34.7	2.5	repeat	n/a	1	40	new	7
39.2	2.5	foil	n/a	1	0	new	5
43.7	2.5	lure	high	1	4	new	10
48.2	2.5	foil	n/a	1	0	new	8
52.7	2.5	foil	n/a	1	0	similar	7
57.2	2.5	lure	low	1	4	new	8
61.7	2.5	lure	high	2	4	old	8
66.2	2.5	lure	low	2	12	similar	8
70.7	2.5	repeat	n/a	2	12	old	4
75.2	2.5	lure	low	2	4	similar	9
79.7	2.5	repeat	n/a	2	12	old	6
84.2	2.5	repeat	n/a	1	40	new	6
88.7	2.5	repeat	n/a	1	12	new	6
93.2	2.5	repeat	n/a	1	4	new	7
97.7	2.5	repeat	n/a	1	40	new	8
102.2	2.5	foil	n/a	1	0	new	7
106.7	2.5	repeat	n/a	1	4	new	5
111.2	2.5	repeat	n/a	2	4	old	5
115.7	2.5	repeat	n/a	1	12	new	7
120.2	2.5	lure	low	1	12	new	3
124.7	2.5	repeat	n/a	2	4	old	5
129.2	2.5	foil	n/a	1	0	new	9
133.7	2.5	foil	n/a	1	0	new	5
138.2	2.5	repeat	n/a	1	12	new	7
142.7	2.5	repeat	n/a	2	12	old	5
147.2	2.5	foil	n/a	1	0	new	10
151.7	2.5	foil	n/a	1	0	new	5
156.2	2.5	repeat	n/a	1	40	similar	4
160.7	2.5	repeat	n/a	1	40	new	6
165.2	2.5	foil	n/a	1	0	new	6
169.7	2.5	repeat	n/a	2	12	old	6
174.2	2.5	lure	low	2	12	similar	6
178.7	2.5	foil	n/a	1	0	new	8
183.2	2.5	lure	low	2	40	similar	5
187.7	2.5	lure	high	2	40	old	10
192.2	2.5	repeat	n/a	2	12	old	5
196.7	2.5	foil	n/a	1	0	similar	8
201.2	2.5	lure	high	2	40	old	7
205.7	2.5	lure	low	1	12	new	10
210.2	2.5	foil	n/a	1	0	new	5
214.7	2.5	repeat	n/a	2	40	old	8
219.2	2.5	foil	n/a	1	0	new	8
223.7	2.5	lure	low	1	40	new	9
228.2	2.5	lure	high	1	4	new	5
232.7	2.5	repeat	n/a	1	12	new	8
237.2	2.5	repeat	n/a	1	4	new	7
241.7	2.5	foil	n/a	1	0	new	7
246.2	2.5	lure	high	2	4	old	6
250.7	2.5	foil	n/a	1	0	new	7
255.2	2.5	repeat	n/a	2	4	old	5
259.7	2.5	lure	low	2	12	similar	8
264.2	2.5	repeat	n/a	2	40	old	7
268.7	2.5	foil	n/a	1	0	new	5
273.2	2.5	foil	n/a	1	0	new	4
277.7	2.5	repeat	n/a	2	40	old	8
282.2	2.5	lure	high	1	40	new	5
286.7	2.5	repeat	n/a	2	12	old	6
291.2	2.5	repeat	n/a	1	4	new	7
295.7	2.5	foil	n/a	1	0	new	8
300.2	2.5	foil	n/a	1	0	new	8
304.7	2.5	repeat	n/a	1	40	new	5
309.2	2.5	repeat	n/a	2	4	old	6
313.7	2.5	lure	low	1	40	new	5
318.2	2.5	foil	n/a	1	0	new	10
322.7	2.5	foil	n/a	1	0	new	5
327.2	2.5	lure	high	1	4	similar	8
331.7	2.5	foil	n/a	1	0	new	6
336.2	2.5	repeat	n/a	2	40	old	7
340.7	2.5	repeat	n/a	2	40	old	7
345.2	2.5	lure	high	2	4	old	5
349.7	2.5	foil	n/a	1	0	new	6
354.2	2.5	repeat	n/a	1	4	new	10
358.7	2.5	lure	high	1	12	new	5
363.2	2.5	foil	n/a	1	0	new	7
367.7	2.5	foil	n/a	1	0	new	5
372.2	2.5	repeat	n/a	2	4	old	6
376.7	2.5	foil	n/a	1	0	new	1
381.2	2.5	foil	n/a	1	0	new	1
385.7	2.5	foil	n/a	1	0	new	7
390.2	2.5	foil	n/a	1	0	new	8
394.7	2.5	foil	n/a	1	0	new	8
399.2	2.5	lure	high	1	12	new	10
403.7	2.5	lure	low	2	40	old	6
408.2	2.5	foil	n/a	1	0	new	4
412.7	2.5	lure	high	2	12	similar	7
417.2	2.5	lure	low	1	4	new	8
421.7	2.5	repeat	n/a	1	4	new	7
426.2	2.5	foil	n/a	1	0	new	7
430.7	2.5	lure	low	1	4	new	6
435.2	2.5	lure	low	2	4	similar	8
439.7	2.5	repeat	n/a	2	4	old	8
444.2	2.5	foil	n/a	1	0	similar	4
448.7	2.5	lure	low	2	4	similar	7
453.2	2.5	lure	high	2	12	old	8
457.7	2.5	lure	high	1	12	new	6
462.2	2.5	lure	high	2	40	old	10
466.7	2.5	foil	n/a	1	0	new	6
471.2	2.5	foil	n/a	1	0	similar	5
475.7	2.5	foil	n/a	1	0	new	7
480.2	2.5	foil	n/a	1	0	new	9
484.7	2.5	repeat	n/a	2	40	old	6
489.2	2.5	foil	n/a	1	0	new	7
493.7	2.5	lure	low	2	40	similar	7
498.2	2.5	foil	n/a	1	0	new	7
502.7	2.5	foil	n/a	1	0	new	6
507.2	2.5	foil	n/a	1	0	new	7
511.7	2.5	lure	high	2	12	old	5
516.2	2.5	foil	n/a	1	0	new	7
520.7	2.5	foil	n/a	1	0	new	5
